查询目标,样本SHA256,环境,文件名称,文件类型,文件路径,文件SHA256
52.168.117.170,ebde1cd634da16a88a8d8b1448ffa9e52fa04ac163c9a415d323864ac0c45407,"Win10(1903 64bit,Office2016)",cfd03e2fe9694a7c86d9a8bf7ea5cb79.dmp,data,c:\Users\administrator\AppData\Local\Google\Software Reporter Tool\reports\cfd03e2f-e969-4a7c-86d9-a8bf7ea5cb79.dmp,20a2518c67cf265051a72eea321544cf0f15746969935ea707ef86f485a983bc
52.168.117.170,ebde1cd634da16a88a8d8b1448ffa9e52fa04ac163c9a415d323864ac0c45407,"Win10(1903 64bit,Office2016)",cfd03e2fe9694a7c86d9a8bf7ea5cb79.dmp,"Mini DuMP crash report, 10 streams, Tue Nov 11 10:26:50 2025, 0x0 type",c:\users\administrator\appdata\local\google\software reporter tool\reports\cfd03e2f-e969-4a7c-86d9-a8bf7ea5cb79.dmp,e94aa91086cadbc71051865cb14edae7c2a632ede420e6d62af2bb1befd885fc
52.168.117.170,6ae8e0ad62368f1ab669718c25e122fd8ba1cb5590943ffc4b42bbbc6dcf9509,"Win10(1903 64bit,Office2016)",DesktopLayer.exe,"PE32 executable (GUI) Intel 80386, for MS Windows, UPX compressed",C:\Program Files (x86)\Microsoft\DesktopLayer.exe,fd6c69c345f1e32924f0a5bb7393e191b393a78d58e2c6413b03ced7482f2320
52.168.117.170,6ae8e0ad62368f1ab669718c25e122fd8ba1cb5590943ffc4b42bbbc6dcf9509,"Win10(1903 64bit,Office2016)",imagestore.dat,data,C:\Users\Administrator\AppData\Local\Microsoft\Internet Explorer\imagestore\kr1k65i\imagestore.dat,f0159dca25113306896332d4e0ad78efc57411cd267bfd20e2dc7ff76f8b592e
52.168.117.170,6ae8e0ad62368f1ab669718c25e122fd8ba1cb5590943ffc4b42bbbc6dcf9509,"Win10(1903 64bit,Office2016)",common.65778321a069086f07d6[1].js,"ASCII text, with very long lines, with no line terminators",C:\Users\Administrator\AppData\Local\Microsoft\Windows\INetCache\IE\5L4CE25C\common.65778321a069086f07d6[1].js,a6b92acfc9bed1c19f81e4adfada1cdc7bf4a69f5cff62d8f9bba839a6feffef
52.168.117.170,6ae8e0ad62368f1ab669718c25e122fd8ba1cb5590943ffc4b42bbbc6dcf9509,"Win10(1903 64bit,Office2016)",experience.b374b0d5b40196862f17[1].js,"Unicode text, UTF-8 text, with very long lines, with NEL line terminators",C:\Users\Administrator\AppData\Local\Microsoft\Windows\INetCache\IE\5L4CE25C\experience.b374b0d5b40196862f17[1].js,d3722105b5c0d92a3e85eca10174193cd0af84de74586b2eee991182cff5affe
52.168.117.170,6ae8e0ad62368f1ab669718c25e122fd8ba1cb5590943ffc4b42bbbc6dcf9509,"Win10(1903 64bit,Office2016)",microsoft.b109cceab5e009228460[1].js,"ASCII text, with very long lines",C:\Users\Administrator\AppData\Local\Microsoft\Windows\INetCache\IE\5L4CE25C\microsoft.b109cceab5e009228460[1].js,16933dcf75634f75f0a09a67fb0ff7d9d0556188a888cdd89e05f2d21997bb51
52.168.117.170,5639075bd0609f22aa19f56d883cdbbd2811db0efa4b44b5845d22c2b4d50b95,"Win7(32bit,Office2013)",ww1mgr.exe,"PE32 executable (GUI) Intel 80386, for MS Windows, UPX compressed",C:\tmpix8b08\ww1mgr.exe,54282ec29d4993ed6e9972122cfbb70bba4898a21d527bd9e72a166d7ec2fdc0
52.168.117.170,5639075bd0609f22aa19f56d883cdbbd2811db0efa4b44b5845d22c2b4d50b95,"Win7(64bit,Office2013)",ww1mgr.exe,"PE32 executable (GUI) Intel 80386, for MS Windows, UPX compressed",C:\tmp44xo_o\ww1mgr.exe,54282ec29d4993ed6e9972122cfbb70bba4898a21d527bd9e72a166d7ec2fdc0
52.168.117.170,5639075bd0609f22aa19f56d883cdbbd2811db0efa4b44b5845d22c2b4d50b95,"Win7(64bit,Office2013)",Report.wer,Windows Error Report,C:\Users\Admin\AppData\Local\Microsoft\Windows\WER\ReportArchive\AppCrash_iexplore.exe_36db85c521f7f0df9ca45b8a77f49b5275bbd7a_00e4a231\Report.wer,e24836e3fb32ae61daaf60990df7340a078e616bc8117bb1796a9de643fa8c30
